H,CTL_GNSXLS_1_KEY_PRV,Number,GNS pilot — Page prev button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_NXT,Number,GNS pilot — Page next button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_ENTER,Number,GNS pilot — Enter button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_BACK,Number,GNS pilot — Back (CLR) button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_L1,Number,GNS pilot — L1 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_L2,Number,GNS pilot — L2 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_L3,Number,GNS pilot — L3 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_L4,Number,GNS pilot — L4 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_L5,Number,GNS pilot — L5 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_R1,Number,GNS pilot — R1 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_R2,Number,GNS pilot — R2 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_R3,Number,GNS pilot — R3 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_R4,Number,GNS pilot — R4 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_R5,Number,GNS pilot — R5 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_0,Number,GNS pilot — Digit 0 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_1,Number,GNS pilot — Digit 1 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_2,Number,GNS pilot — Digit 2 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_3,Number,GNS pilot — Digit 3 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_4,Number,GNS pilot — Digit 4 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_5,Number,GNS pilot — Digit 5 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_6,Number,GNS pilot — Digit 6 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_7,Number,GNS pilot — Digit 7 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_8,Number,GNS pilot — Digit 8 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_9,Number,GNS pilot — Digit 9 button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_A,Number,GNS pilot — A button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_B,Number,GNS pilot — B button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_C,Number,GNS pilot — C button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_D,Number,GNS pilot — D button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_E,Number,GNS pilot — E button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_F,Number,GNS pilot — F button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_G,Number,GNS pilot — G button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_H,Number,GNS pilot — H button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_I,Number,GNS pilot — I button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_J,Number,GNS pilot — J button,CTL Falcon 50 GNS — GNS pilot
